"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
1.008,1.008,1,1,1,1,0.11123071154952,0.0968813896179199,0.0861835540064812,
1.018,1.018,1,1,1,1,0.11314738612175,0.0963211059570313,0.0880622925413132,
1.028,1.028,1,1,1,1,0.115454662621021,0.0951409339904785,0.0833606778323173,
1.038,1.038,1,1,1,1,0.114037595164776,0.094306468963623,0.0996065209495068,
1.048,1.048,1,1,1,1,0.112384349799156,0.0968456268310547,0.0869274200253487,
1.058,1.058,1,1,1,1,0.115763510656357,0.0954627990722656,0.0884914460137367,
1.068,1.068,1,1,1,1,0.115827097016573,0.0991344451904297,0.0926113193490028,
1.078,1.078,1,1,1,1,0.118379635190964,0.100982189178467,0.0779867226831913,
1.088,1.088,1,1,1,1,0.117989033263922,0.104832649230957,0.0907945696490765,
1.098,1.098,1,1,1,1,0.118752069586515,0.102579593658447,0.0914001528823852,
1.108,1.108,1,1,1,1,0.119524189674854,0.102329254150391,0.0914096896262169,
1.118,1.118,1,1,1,1,0.119969294196367,0.106704235076904,0.0969791480238914,
1.128,1.128,1,1,1,1,0.120341728591919,0.105118751525879,0.0928640430605411,
1.138,1.138,1,1,1,1,0.1223492408216,0.105643272399902,0.0967454978000164,
1.148,1.148,1,1,1,1,0.123166779738665,0.110447406768799,0.0952863759937763,
1.159,1.159,1,1,1,1,0.124147826439142,0.106847286224365,0.0954723424984932,
1.169,1.169,1,1,1,1,0.126346097749472,0.113606452941895,0.097799307993412,
1.179,1.179,1,1,1,1,0.125664815318584,0.109827518463135,0.0922632281991482,
1.189,1.189,1,1,1,1,0.123275784927607,0.112926959991455,0.0990820000387669,
1.199,1.199,1,1,1,1,0.127990259349346,0.115799903869629,0.0943899220736027,
1.209,1.209,1,1,1,1,0.126972877585888,0.114202499389648,0.0993728707256317,
1.219,1.219,1,1,1,1,0.127554238593578,0.117552280426025,0.0994777749077797,
1.229,1.229,1,1,1,1,0.13014311183095,0.119030475616455,0.0936460560547352,
1.239,1.239,1,1,1,1,0.129134813833237,0.113821029663086,0.10140419716177,
1.249,1.249,1,1,1,1,0.131841776025295,0.121307373046875,0.105347640736151,
1.259,1.259,1,1,1,1,0.132886409085989,0.1190185546875,0.102496154330492,
1.269,1.269,1,1,1,1,0.132577561050653,0.125610828399658,0.101852424121857,
1.279,1.279,1,1,1,1,0.13264114741087,0.120854377746582,0.105676658398342,
1.29,1.29,1,1,1,1,0.133794785660505,0.123035907745361,0.103726394284773,
1.3,1.3,1,1,1,1,0.134784916126728,0.122356414794922,0.104212768220186,
1.31,1.31,1,1,1,1,0.135375360900164,0.12744665145874,0.108737953168297,
1.32,1.32,1,1,1,1,0.136065727096796,0.127673149108887,0.113019951148701,
1.33,1.33,1,1,1,1,0.137464627021551,0.132668018341064,0.104632384948778,
1.34,1.34,1,1,1,1,0.136765177059174,0.121796131134033,0.108790405259371,
1.35,1.35,1,1,1,1,0.138164076983929,0.13120174407959,0.110487945661402,
1.36,1.36,1,1,1,1,0.139535725611448,0.134730339050293,0.11532307478404,
1.37,1.37,1,1,1,1,0.14105271449089,0.124585628509521,0.110135086139631,
1.38,1.38,1,1,1,1,0.142115515083075,0.134479999542236,0.112981804173374,
1.39,1.39,1,1,1,1,0.142233604037762,0.129544734954834,0.114402779004288,
1.4,1.4,1,1,1,1,0.14353258253932,0.134992599487305,0.106482513252115,
1.411,1.411,1,1,1,1,0.143051142954826,0.132417678833008,0.114712723178816,
1.421,1.421,1,1,1,1,0.14323281826973,0.139546394348145,0.110859878670835,
1.431,1.431,1,1,1,1,0.145558262300491,0.134479999542236,0.110669143794203,
1.441,1.441,1,1,1,1,0.148156219303608,0.132179260253906,0.114173897152328,
1.451,1.451,1,1,1,1,0.145158576607704,0.137567520141602,0.123686799124384,
1.461,1.461,1,1,1,1,0.149001009517908,0.142204761505127,0.113630302753925,
1.471,1.471,1,1,1,1,0.150463495802879,0.13892650604248,0.122098931276417,
1.481,1.481,1,1,1,1,0.149555119228363,0.140488147735596,0.113158233934259,
1.491,1.491,1,1,1,1,0.151235615891218,0.144267082214355,0.123057374031496,
1.501,1.501,1,1,1,1,0.15273443723917,0.141811370849609,0.111579902830124,
1.511,1.511,1,1,1,1,0.15326129565239,0.14500617980957,0.107188232295656,
1.521,1.521,1,1,1,1,0.152380170375109,0.142741203308105,0.120139130419016,
