"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.55,0.55,1,1,1,1,0.100966056257486,2.86076068878174,0.0399780301422119,
0.56,0.56,1,1,1,1,0.102646552920341,2.91911363601685,0.0513696706490994,
0.57,0.57,1,1,1,1,0.104635897618532,2.97318696975708,0.0475835833479404,
0.581,0.581,1,1,1,1,0.105044667077065,3.03852558135986,0.0499582325620174,
0.591,0.591,1,1,1,1,0.108378409105539,3.09470891952515,0.0514793432031631,
0.601,0.601,1,1,1,1,0.111630397242308,3.15200090408325,0.0449943573976517,
0.611,0.611,1,1,1,1,0.112184506952763,3.20216417312622,0.0540256538062096,
0.621,0.621,1,1,1,1,0.11341081532836,3.2598614692688,0.0494527851389408,
0.631,0.631,1,1,1,1,0.115354741197824,3.31435203552246,0.0523614920075893,
0.641,0.641,1,1,1,1,0.118061703389883,3.36623191833496,0.0521564520152092,
0.651,0.651,1,1,1,1,0.121422696715593,3.41900587081909,0.0497293507100582,
0.661,0.661,1,1,1,1,0.119932959133387,3.47471237182617,0.0628900571977139,
0.671,0.671,1,1,1,1,0.123630051791668,3.5322904586792,0.0609588665718079,
0.681,0.681,1,1,1,1,0.12734531198144,3.58349084854126,0.0573349039157867,
0.691,0.691,1,1,1,1,0.130597300118208,3.64357233047485,0.0574445764698505,
0.701,0.701,1,1,1,1,0.129634420949221,3.70033979415894,0.0575351755362511,
0.712,0.712,1,1,1,1,0.132731985068321,3.74494791030884,0.0609970135471344,
0.722,0.722,1,1,1,1,0.133386016201973,3.80942821502686,0.0606346172815323,
0.732,0.732,1,1,1,1,0.137682637399435,3.86300086975098,0.0631666227688313,
0.742,0.742,1,1,1,1,0.139108788621426,3.9210319519043,0.0663614319524288,
0.752,0.752,1,1,1,1,0.141043630725145,3.98443937301636,0.0625038190725326,
0.762,0.762,1,1,1,1,0.144004938358068,4.03831005096436,0.0697279025249958,
0.772,0.772,1,1,1,1,0.145494675940275,4.09673452377319,0.0574731867013454,
0.782,0.782,1,1,1,1,0.148873836797476,4.1603684425354,0.0682544756030083,
0.792,0.792,1,1,1,1,0.152689018410444,4.20951843261719,0.0702142764604092,
0.802,0.802,1,1,1,1,0.153706400173902,4.26218509674072,0.066905026350832,
0.812,0.812,1,1,1,1,0.1552143052876,4.31728363037109,0.0662612961421966,
0.822,0.822,1,1,1,1,0.155941006547213,4.37161922454834,0.0743532232833385,
0.832,0.832,1,1,1,1,0.158230115514994,4.41106557846069,0.0774908120039463,
0.843,0.843,1,1,1,1,0.161400349760056,4.47338819503784,0.0733184865776062,
0.853,0.853,1,1,1,1,0.16278108215332,4.5208215713501,0.0699091006577969,
0.863,0.863,1,1,1,1,0.163980139231682,4.56784963607788,0.0735473684295654,
0.873,0.873,1,1,1,1,0.167559142935276,4.61571216583252,0.0700855304186821,
0.883,0.883,1,1,1,1,0.168821786373854,4.66535091400146,0.0647354171291351,
0.893,0.893,1,1,1,1,0.170602204459906,4.70237731933594,0.0715208103653431,
0.903,0.903,1,1,1,1,0.171819429069757,4.75184917449951,0.0652837798994541,
0.913,0.913,1,1,1,1,0.173727019876242,4.79006767272949,0.0742530874731064,
0.923,0.923,1,1,1,1,0.175089584738016,4.83912229537964,0.0728082707826137,
0.933,0.933,1,1,1,1,0.176651992446184,4.89084720611572,0.0839757978094578,
0.943,0.943,1,1,1,1,0.180412671464682,4.94041442871094,0.0774669701443672,
0.953,0.953,1,1,1,1,0.180694268202782,4.99194860458374,0.0776004845580101,
0.964,0.964,1,1,1,1,0.18394625633955,5.05446195602417,0.0819730816048145,
0.974,0.974,1,1,1,1,0.18588109844327,5.10290861129761,0.0770425850438595,
0.984,0.984,1,1,1,1,0.190586489099264,5.16043901443481,0.0817346630090237,
