"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.688,0.688,1,1,1,1,0.0950888598203659,3.74825000762939,0.0407791166240692,
0.698,0.698,1,1,1,1,0.0974597226798534,3.80934476852417,0.0419378309996128,
0.709,0.709,1,1,1,1,0.0978049057781696,3.86319160461426,0.044436457883501,
0.719,0.719,1,1,1,1,0.0996579939901829,3.91942262649536,0.0398063687532425,
0.729,0.729,1,1,1,1,0.100520951735973,3.97027730941772,0.0376081493000507,
0.739,0.739,1,1,1,1,0.100575454330444,4.01513576507568,0.0441646606842995,
0.749,0.749,1,1,1,1,0.10398186648488,4.0713906288147,0.0434350997811794,
0.759,0.759,1,1,1,1,0.105226342391968,4.11522388458252,0.0474548373062134,
0.769,0.769,1,1,1,1,0.106507153362036,4.17261123657227,0.0351047540442467,
0.779,0.779,1,1,1,1,0.107342859810591,4.2292594909668,0.0351381326476574,
0.789,0.789,1,1,1,1,0.111039952468872,4.28987741470337,0.0467824968660831,
0.799,0.799,1,1,1,1,0.110249664849043,4.34898138046265,0.0476884875300884,
0.809,0.809,1,1,1,1,0.114001260101795,4.4079065322876,0.0490856205014229,
0.819,0.819,1,1,1,1,0.11536382496357,4.47051525115967,0.0499296223305225,
0.829,0.829,1,1,1,1,0.116135945051908,4.53318357467651,0.0492763553780556,
0.84,0.84,1,1,1,1,0.119106336450577,4.5976996421814,0.0492286716588974,
0.85,0.85,1,1,1,1,0.120586990267038,4.65890169143677,0.0528955496621609,
0.86,0.86,1,1,1,1,0.121122932446003,4.71509695053101,0.0516891515674591,
0.87,0.87,1,1,1,1,0.122430994713306,4.7735333442688,0.0598144573120117,
0.88,0.88,1,1,1,1,0.124438506942987,4.83143329620361,0.0539445914836407,
0.89,0.89,1,1,1,1,0.12512887313962,4.88487482070923,0.0512361562354565,
0.9,0.9,1,1,1,1,0.128925887221098,4.9433708190918,0.057067875088501,
0.91,0.91,1,1,1,1,0.128907719689608,4.9938440322876,0.0541830100794315,
0.92,0.92,1,1,1,1,0.131133242297173,5.05064725875854,0.0578022043635368,
0.93,0.93,1,1,1,1,0.132350466907024,5.09800910949707,0.0679636049161434,
0.94,0.94,1,1,1,1,0.133367848670483,5.16558885574341,0.0537920035823345,
